GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
4885381,650989.326786494,587851.20703125,392290.009633272,597569.30859375,321113.053194795,508364.556640625,547622.955080837,447449.162109375,272512.571559634,489421.230957031,253582.645973767,405484.631347656,381350.01629892,314347.3515625,212403.36128893,361151.653320313,187671.996868053,284861.530273437
340138932,154897.745275638,173116.094909668,84934.6318715984,149143.711669922,204067.654031841,206894.085388184,188174.092585264,187161.305053711,61293.3311154176,183607.305908203,274665.422073149,266137.979736328,311068.07196176,328163.803955078,161294.712589778,313156.94152832,449607.430963742,435144.085449219
7661678,2692401.88774115,5275764.23046875,1515751.09770938,2272824.64990234,10521173.8777289,12859219.34375,1477154.32100287,2663891.16503906,846032.815242835,1329831.17675781,5374755.35874085,6361149.38476562,1991307.72767373,3702913.24804687,1230876.97389919,1679094.57128906,7446244.27837693,8722393.25390625
47933397,134202.106667308,214518.020996094,56530.4101019064,172531.440429687,278787.933347171,389849.814453125,98333.1916178818,177584.482421875,51253.8271545518,195382.263183594,301822.829170214,248604.37890625,73952.8250074396,102145.690917969,51208.7042752151,132397.985351563,164456.430504287,173759.245605469
4504517,149196.50457017,160472.987304688,88107.7174440067,224207.973876953,122629.703316082,234904.267089844,37467.7270860491,32057.51953125,15889.1710558045,46078.6457519531,39272.8205793321,65017.5092773437,47837.8530724464,47038.3186035156,28914.5620638104,70237.2336425781,58868.8099829068,93833.7065429688
38327625,265631.78157439,373534.1328125,565459.440871195,387397.877929687,475482.131188086,423684.975585937,41472.1474316944,71505.5126953125,59492.3204178707,51494.091796875,100478.083234154,39587.7109375,186980.677991745,245184.021484375,419538.897931858,280880.680175781,356298.104174128,270724.901855469
183227678,2076422.6561857,1449192.99145508,1513295.92674215,1180789.80883789,1366878.43375411,894410.037231445,1236470.15662878,889075.982421875,810229.490220072,675033.020019531,815687.954842816,523048.913085938,955920.707034288,690602.978515625,649336.832831821,523934.580566406,669934.046461409,421110.497558594
6031192,203156.996113838,368090.171875,232049.444357653,94208.6357421875,393227.067813277,534918.34765625,59766.9205311552,74352.220703125,58795.3773034044,32886.8056640625,122865.747526969,145081.08203125,97231.5681284617,145486.896484375,87406.8919441402,60335.8413085937,180795.744640285,229036.6015625
4826898,779198.557241505,793940.15625,2368800.38376441,761994.984375,964242.504568454,694914.740234375,246972.983424795,262352.814941406,728449.80527821,268517.093261719,301634.673677158,235011.208496094,219619.80585287,180811.654785156,729042.802358483,228146.338378906,252537.322267969,181443.33984375
388240801,52995.9442711832,70261.6376953125,57668.3343240209,57813.58203125,94288.3489794128,95089.7001953125,80160.240664281,104345.326171875,56272.4267588484,90581.5874023438,119412.496339677,138813.981445312,26278.3763525195,31445.7299804687,23600.3083627823,25146.337890625,40570.5895023752,42257.4892578125
